item,event_name,distribution_method,start_date,end_date,region,notes
gyaradosite,Winter Counterattack Gyarados,,16/01/2016,17/01/2016,South Korea,
haban-berry,Pokémon Center Curry Ingredients and Berries,Serial Code,15/11/2019,31/10/2021,Japan,
ham,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
hamburger,After School Pokémon Research Club Sandwich Ingredients,,01/12/2022,31/01/2023,All,
hamburger,It’s picnic time! sandwich ingredients,,17/01/2025,20/01/2026,All,
hamburger,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
heal-ball,Variety Ball Sets,Serial Code,18/11/2022,07/03/2023,Japan,
heal-ball,Wild Area News Heal Balls,Wi-Fi,31/01/2020,30/03/2020,All,
heal-powder,Pokémon Center Sapporo reopening items,,01/12/2016,31/01/2017,Japan,
heart-scale,♥♥Pika♥♥ Pikachu,Local Event,09/08/2014,17/08/2014,Japan,Held by event Pikachu
heavy-ball,Apricorn Poké Ball Set,,19/11/2021,28/02/2022,All,
heavy-ball,Global mission items,,21/03/2017,27/04/2017,All,
heavy-ball,Poké Times rare Poké Balls,,20/12/2019,15/01/2020,All,
heavy-ball,Pokémon Legends: Arceus downloadable version Heavy Balls,download,28/01/2022,16/05/2022,all,
heracronite,2014 Korean World Championship Series Heracross,,06/07/2014,06/07/2014,Korean,Held item
heracronite,Second Mega Stone Gift,,12/05/2017,31/10/2017,All,
heracronite,Tough Pokémon Mega Stones,,18/08/2014,17/12/2014,United States,
herbed-sausage,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
